PLU;Loja;Região;Nome PLU;Nome Depto;Nome Cat;Nome Subcat;Nome Loja;Mês Referencia;Bandeira;VENDA BRUTA MENSAL
2585;1;SÃO PAULO;RICOTA FRESCA TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;816
5029;1;SÃO PAULO;FILE DE PEITO FGO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;6703
5036;1;SÃO PAULO;BANANA A MILANESA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;27
5272;1;SÃO PAULO;MUSCULO BOV RESF ESPECIAL KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;3143
5302;1;SÃO PAULO;SASHIMI SALMAO FRESCO DP KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
5357;1;SÃO PAULO;REPOLHO ROXO LIMPO KG;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;May-2019;PA;0
5456;1;SÃO PAULO;POSTA ESPADA FRESCA KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
5678;1;SÃO PAULO;CONTRA FILE BOV RESF ESPECIAL KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
5951;1;SÃO PAULO;QJ MUCARELA NAC FAT KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
6309;1;SÃO PAULO;REFEICAO ESPECIAL KG;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
6668;1;SÃO PAULO;ASA FRANGO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;757
6798;1;SÃO PAULO;BATATA PALHA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;24
6897;1;SÃO PAULO;BOLO MERENGUE E MORANGO GR;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;688
7788;1;SÃO PAULO;PERTENCE P/CANJA RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;0
8235;1;SÃO PAULO;COSTELA SUINA ASSADA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
8280;1;SÃO PAULO;MUSCULO BOV RESF PEDACO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1506
8334;1;SÃO PAULO;SALSICHA ALHO EDER KG 4274;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
8402;1;SÃO PAULO;QJ PRIMADONNA AZUL;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;656
8440;1;SÃO PAULO;PRES ROYALE SADIA FAT PTOP P;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
8600;1;SÃO PAULO;POSTA BADEJO FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
9041;1;SÃO PAULO;PINTADO DA AMAZONIA INTEIRO FCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;538
9089;1;SÃO PAULO;ABACATE CORTE KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;May-2019;PA;0
9393;1;SÃO PAULO;VONGOLE C/CASCA FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
9638;1;SÃO PAULO;APRESUNTADO SADIA FAT APRN;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;309
9805;1;SÃO PAULO;POSTA BEIJUPIRA FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
10191;1;SÃO PAULO;COSTELA SUINA FATIADA RESF KG CORTE;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;1782
10238;1;SÃO PAULO;CARNE RESF SUINA COPA FAT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;355
10283;1;SÃO PAULO;PAO DOCE C/CREME E COCO FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
10429;1;SÃO PAULO;BISNAGUINHA COM ACUCAR FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
10528;1;SÃO PAULO;COSTELA SUINA RESF KG (CORTES);PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;1868
10535;1;SÃO PAULO;COSTELA DEF KASSEL;PERECIVEIS;PEREC COMPLEMENTAR;SALGADOS E DEFUMADOS;JARDIM PAULISTA;May-2019;PA;449
10863;1;SÃO PAULO;LING COCKTAIL BERNA CRY KG 1331;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
10924;1;SÃO PAULO;LING FRANGO SEARA GNEL KG 5185;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;210
10993;1;SÃO PAULO;PAO DE HAMBURGER C/GERGELIM FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
11068;1;SÃO PAULO;PAO DE LEITE FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;453
11075;1;SÃO PAULO;TQ MELAO AMARELO ORG GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;May-2019;PA;407
11099;1;SÃO PAULO;FILE MIGNON BOV RESF BIFE KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;900
11280;1;SÃO PAULO;PAO SOVADO DOCE FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;326
11426;1;SÃO PAULO;QJ MUSS BOLINHA QUATA KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;330
11464;1;SÃO PAULO;COXA SCOXA FGO RESF SEARA BDJ KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;121
11662;1;SÃO PAULO;LAGARTO BOV RESF BIFE KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;137
11839;1;SÃO PAULO;LOMBO CONDIMENTADO HANS FT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
11945;1;SÃO PAULO;MOUSSE DE CHOCOLATE FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;321
11969;1;SÃO PAULO;KIBE ASSADO;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;477
12010;1;SÃO PAULO;FRANGO A PASSARINHO RESF K;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;487
12249;1;SÃO PAULO;LOMBO SUINO RESF KG (CORTE);PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;3205
12317;1;SÃO PAULO;LINGUA BOV S/PELE KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
12348;1;SÃO PAULO;MORT LIGHT CERATI FAT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
12386;1;SÃO PAULO;QJ CHABICHOU CABRA PAULOCAPRI KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;422
12614;1;SÃO PAULO;PIG BEEF CERATTI FT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;179
12744;1;SÃO PAULO;SALS HOT DOG SADIA GNEL CX SAH KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;681
12768;1;SÃO PAULO;PRES COZ GORD SADIA FAT PCI;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;328
12775;1;SÃO PAULO;PRES COZ MAGRO SADIA FAT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;584
12997;1;SÃO PAULO;SALAME HAMBURGUES SADIA FATIADO KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;438
13079;1;SÃO PAULO;BIJUPIRA INTEIRO FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
13109;1;SÃO PAULO;MINI SALAME ITALIANO SADIA PECA KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;419
13116;1;SÃO PAULO;SALAME ITAL SADIA FATIADO KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;1021
13239;1;SÃO PAULO;SALS APERIT 3/1 BERNA CRY KG 1043;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
13291;1;SÃO PAULO;SALS FRANKFURT BERNA CRY 1041;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
13420;1;SÃO PAULO;MANGA TOMMY CORTE KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;May-2019;PA;0
13437;1;SÃO PAULO;SALS SWISS DOG BERNA CRY KG 1011;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
13819;1;SÃO PAULO;COPA LOMBO SUINO FATIADO RESF KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;861
13840;1;SÃO PAULO;SALSICHAO SCHUBLIG BERNA CRY KG 121;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
14182;1;SÃO PAULO;LASANHA DE CAMARAO COM GORGONZOLA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
14427;1;SÃO PAULO;BIFE CX MOLE PARMEGIANA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;286
14670;1;SÃO PAULO;CORACAO FGO RESF SEARA BDJ KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;178
14816;1;SÃO PAULO;ROASTBEEF MOLHO DE PIMENTA BIQUINHO;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;679
14892;1;SÃO PAULO;CIABATA DE PROVOLONE FP KG;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;0
15035;1;SÃO PAULO;QJ MUSS TIROLEZ FAT;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;5831
15059;1;SÃO PAULO;QJ PRATO TIROLEZ FAT;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;6185
15073;1;SÃO PAULO;QUICHE LORRAINE ESPECIAL PA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;52
15301;1;SÃO PAULO;MUSCULO DA PALETA KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
15417;1;SÃO PAULO;BOLO CHOCOLATE KG;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;821
15615;1;SÃO PAULO;QJ MINAS PADRAO TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;5020
15776;1;SÃO PAULO;QJ MUSS LANCHE TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;882
15813;1;SÃO PAULO;QJ PRATO LANCHE TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;1562
15882;1;SÃO PAULO;QJ PROV TIROLEZ F-300;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;383
16087;1;SÃO PAULO;LOMBO SUINO FATIADO RESF KG (CORTE);PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;1594
16100;1;SÃO PAULO;MANGA PALMER CORTE KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;May-2019;PA;193
16155;1;SÃO PAULO;QJ ESFERICO TIROLEZ CUNHA;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;264
16162;1;SÃO PAULO;QJ GOUDA TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;946
16322;1;SÃO PAULO;QJ REINO JONG FATIADO KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
16339;1;SÃO PAULO;COXA C/SOBRECOXA FRANGO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;1082
16483;1;SÃO PAULO;SOPA CAPELETTI IN BRODO;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
16612;1;SÃO PAULO;MIOLO PALETA BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;100
16742;1;SÃO PAULO;QJ GORG FORMA QUATA;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;489
16759;1;SÃO PAULO;PERNIL SUINO C/OSSO RESF (CORTE) KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
16919;1;SÃO PAULO;PERNIL SUINO C/ OSSO RESF ATEND KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
16926;1;SÃO PAULO;PERNIL SUINO ESPECIAL S/O KG CORTE;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;437
17107;1;SÃO PAULO;SALAME HAMBURGUES SADIA PECA KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
17176;1;SÃO PAULO;MAIONESE LEGUMES;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;921
17329;1;SÃO PAULO;QJ MUSS C/ AZEITONA BUFALO DOURADO;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;204
17497;1;SÃO PAULO;FILE MIGNON MATURATTA;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;1638
17626;1;SÃO PAULO;MUSCULO BOV PICADO RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
17855;1;SÃO PAULO;QJ REINO QUATA LT;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
17886;1;SÃO PAULO;QJ PROV TIROLEZ F-20;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;817
18012;1;SÃO PAULO;MOLHO DE MOSTARDA EM GRAOS;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
18258;1;SÃO PAULO;BROCOLIS ALHO E OLEO;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;221
18449;1;SÃO PAULO;QJ MUCARELA IMP FAT KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;28
18692;1;SÃO PAULO;PALETA BOV RESF PECA VACUO KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
18715;1;SÃO PAULO;BOLO AIPIM FP;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;May-2019;PA;1697
19095;1;SÃO PAULO;MORT C/PISTACHE CERATTI FAT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;165
19170;1;SÃO PAULO;SOPA CREME DE MANDIOQUINHA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;13
19545;1;SÃO PAULO;CANJA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;27
19699;1;SÃO PAULO;BISTECA SUINA RESF KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
19910;1;SÃO PAULO;CACAU KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;May-2019;PA;83
19934;1;SÃO PAULO;COXA FGO S/PELE RESF GNEL KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;697
19965;1;SÃO PAULO;CONTRA FILE BOV ESPECIAL KG - ATEND;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;652
20060;1;SÃO PAULO;COXINHA ASA FGO RESF SEARA BDJ KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;May-2019;PA;416
20121;1;SÃO PAULO;YAKISOBA FP;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
20466;1;SÃO PAULO;FRICASSE DE FRANGO FP;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
20473;1;SÃO PAULO;CANELONI PRESUNTO/QUEIJO;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;224
20725;1;SÃO PAULO;SALSICHA APERITIVO EDER PCT KG;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
20794;1;SÃO PAULO;COZIDO ESPECIAL BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
20879;1;SÃO PAULO;PALETA CORDEIRO TEMP CONG SAVANA KG;PERECIVEIS;CARNES;SUINOS E OUTROS;JARDIM PAULISTA;May-2019;PA;0
20985;1;SÃO PAULO;QJ MUSS TRANCA BUFALO DOURADO;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;478
21197;1;SÃO PAULO;LASANHA DE BERINJELA;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
21630;1;SÃO PAULO;CANELONI NAPOLITANO KG;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;May-2019;PA;0
21654;1;SÃO PAULO;SALSICHAO FGO TOMATE SECO EDER FAT;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;0
21890;1;SÃO PAULO;CAPA COXAO MOLE BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;May-2019;PA;0
21982;1;SÃO PAULO;PESCADINHA M INTEIRA FRESCA KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;95
22200;1;SÃO PAULO;XAREU FRESCO INTEIRO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
22224;1;SÃO PAULO;QJ MINAS FCO TIROLEZ;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;6891
22378;1;SÃO PAULO;QJ MINAS FCO TIROLEZ F-3 FATIAR;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;May-2019;PA;612
23238;1;SÃO PAULO;BADEJO INTEIRO FRESCO KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;May-2019;PA;0
23306;1;SÃO PAULO;ORG MUSS BUF ORG PALITO GONDWANA;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;0
23351;1;SÃO PAULO;QJ MINAS FCO BALKIS;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;May-2019;PA;152
