PLU;Loja;Região;Nome PLU;Nome Depto;Nome Cat;Nome Subcat;Nome Loja;Mês Referencia;Bandeira;VENDA BRUTA MENSAL JUNHO
247528;1;SÃO PAULO;MACA FUJI GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;8.539,00
6072100;1;SÃO PAULO;QA UVA VERMELHA S/SEMENTE 500G;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;7.862,00
7849176;1;SÃO PAULO;AG MINER BONAFONT PET 1.5L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;11.115,00
175357;1;SÃO PAULO;PAO DE QUEIJO COQUETEL PREMIUN KG;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;June-2019;PA;9.468,00
1191809;1;SÃO PAULO;DET PO OMO LAVAGEM PERFEITA 1,6KG;MERCEARIA;LIMPEZA/DESCARTAVEIS;LIMPEZA;JARDIM PAULISTA;June-2019;PA;9.064,00
5664993;1;SÃO PAULO;MC ALSTROEMERIA COOPFL ED;BAZAR;PET E JARDIM;JARDINAGEM;JARDIM PAULISTA;June-2019;PA;8.928,00
4493457;1;SÃO PAULO;REFRI COCA-COLA PET 1.5L;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;8.819,00
7624773;1;SÃO PAULO;BOLO CACAROLA 500G;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;June-2019;PA;10.551,00
1101245;1;SÃO PAULO;CERV HEINEKEN LONG NECK 330ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;12.449,00
417488;1;SÃO PAULO;RG MIOLO DE ACEM TERNEIRO BOV KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;8.890,00
4320838;1;SÃO PAULO;ALFACE LISA HIDROP EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.638,00
5106882;1;SÃO PAULO;RUCULA HIDROP EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.842,00
1156105;1;SÃO PAULO;BROCOLIS NINJA 300G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.684,00
6581282;1;SÃO PAULO;MANTEIGA AVIACAO TABLETE C/SAL 200G;PERECIVEIS;PEREC COMPLEMENTAR;LATICINIOS E MASSAS;JARDIM PAULISTA;June-2019;PA;8.389,00
1038398;1;SÃO PAULO;SUCO DE LARANJA NAT ONE 900ML;PERECIVEIS;PEREC COMPLEMENTAR;IOGURTES;JARDIM PAULISTA;June-2019;PA;8.869,00
248495;1;SÃO PAULO;AG MINER MINALBA PET 1.5L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;9.290,00
995795;1;SÃO PAULO;SCALOPE FILE MIGNON BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;8.157,00
1028238;1;SÃO PAULO;PH PERSONAL VIP COMPACTO L12P11 30M;MERCEARIA;LIMPEZA/DESCARTAVEIS;DESCART HIGIENICOS;JARDIM PAULISTA;June-2019;PA;6.618,00
1102225;1;SÃO PAULO;SUCO DE LARANJA NAT ONE 1,5L;PERECIVEIS;PEREC COMPLEMENTAR;IOGURTES;JARDIM PAULISTA;June-2019;PA;7.233,00
4937531;1;SÃO PAULO;MANTEIGA AVIACAO POTE C/SAL 200G;PERECIVEIS;PEREC COMPLEMENTAR;LATICINIOS E MASSAS;JARDIM PAULISTA;June-2019;PA;8.708,00
1015447;1;SÃO PAULO;HORTELA EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;8.157,00
4592754;1;SÃO PAULO;REFRI COCA COLA S ACUCAR 1.5L;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;8.222,00
5089116;1;SÃO PAULO;LTE LV INTEGRAL PIRACANJUBA EDGE 1L;MERCEARIA;MERCEARIA BASICA;LEITE LONGA VIDA;JARDIM PAULISTA;June-2019;PA;11.134,00
247139;1;SÃO PAULO;LARANJA IMPORTADA GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;8.248,00
1158137;1;SÃO PAULO;SUCO LARANJA FABR PROPRIA 1000ML;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;9.228,00
1304;1;SÃO PAULO;MEDALHAO FILE MIGNOM BOV RESF KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;7.023,00
248037;1;SÃO PAULO;PERA WILLIANS GNEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;9.021,00
206655;1;SÃO PAULO;PRES COZ MAGRO SADIA FT KG - BALCAO;PERECIVEIS;PEREC COMPLEMENTAR;FRIOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;8.638,00
287869;1;SÃO PAULO;CENOURA GNEL KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;8.572,00
255189;1;SÃO PAULO;LTE FERM YAKULT BJ C/6 480G;PERECIVEIS;PEREC COMPLEMENTAR;IOGURTES;JARDIM PAULISTA;June-2019;PA;7.666,00
1019681;1;SÃO PAULO;QA UVA CLARA S/SEMENTE 500G;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;8.073,00
1016192;1;SÃO PAULO;COENTRO E CEBOLINHA EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.443,00
1173082;1;SÃO PAULO;CERV COLORADO OKTOBERFEST OW 600ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;12.606,00
161602;1;SÃO PAULO;CIG MARLBORO GOLD ORIG KS BOX C 10;MERCEARIA;LIQUIDA;CIGARROS;JARDIM PAULISTA;June-2019;PA;7.000,00
2373133;1;SÃO PAULO;COUVE MANTEIGA MC;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.484,00
5029;1;SÃO PAULO;FILE DE PEITO FGO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;June-2019;PA;8.202,00
7027802;1;SÃO PAULO;FILEZINHO FGO RESF KORIN 600G;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;June-2019;PA;7.055,00
472807;1;SÃO PAULO;CHIPA DE QUEIJO;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;June-2019;PA;7.213,00
6026325;1;SÃO PAULO;QA TOALHA DE PAPEL QUALITA C/2;MERCEARIA;LIMPEZA/DESCARTAVEIS;DESCART HIGIENICOS;JARDIM PAULISTA;June-2019;PA;7.109,00
7047411;1;SÃO PAULO;LEITE INTEG NINHO NESTLE 1LT;MERCEARIA;MERCEARIA BASICA;LEITE LONGA VIDA;JARDIM PAULISTA;June-2019;PA;7.952,00
1096755;1;SÃO PAULO;BOMBOM NESTLE ESPECIALIDADES 300G;MERCEARIA;MERC COMPLEMENTAR;BOMBONIERE;JARDIM PAULISTA;June-2019;PA;2.369,00
5991471;1;SÃO PAULO;QA FEIJAO CARIOCA TIP 1 QUALITA 1KG;MERCEARIA;MERCEARIA BASICA;ARROZ E FEIJAO;JARDIM PAULISTA;June-2019;PA;4.968,00
7047428;1;SÃO PAULO;LEITE MOLICO NESTE 1L DESNATADO;MERCEARIA;MERCEARIA BASICA;LEITE LONGA VIDA;JARDIM PAULISTA;June-2019;PA;7.957,00
4377344;1;SÃO PAULO;SUC CON AURORA UVA GFA 1.5L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;8.392,00
4678274;1;SÃO PAULO;CHOC KIT KAT NESTLE 41,5G;MERCEARIA;MERC COMPLEMENTAR;BOMBONIERE;JARDIM PAULISTA;June-2019;PA;6.381,00
1079027;1;SÃO PAULO;CERVEJA BUDWEISER LT 269ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;7.086,00
5979707;1;SÃO PAULO;COMBINADO TOKIO 1 KG;PERECIVEIS;PEIXARIA;PEIXES FRESCOS;JARDIM PAULISTA;June-2019;PA;7.602,00
4301448;1;SÃO PAULO;OVOS VM GRANDE C/10 KORIN ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;7.000,00
119214;1;SÃO PAULO;REFRI COCA-COLA PET 600ML;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;7.542,00
1137931;1;SÃO PAULO;IPHONE 8 PLUS GOLD 64GB;ELETRO-ELETRONICOS;TELEFONIA;TELEFONIA CELULAR;JARDIM PAULISTA;June-2019;PA;13.596,00
1080936;1;SÃO PAULO;MOIDA PATINHO 500GR;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;7.904,00
141154;1;SÃO PAULO;QJ PARMESAO IMPORTADO PED NOAL KG;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;5.946,00
8285720;1;SÃO PAULO;CERV BELGA HOEGAARDEM GFA 330ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;11.733,00
247764;1;SÃO PAULO;TANGERINA PONKAM KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;6.183,00
1045917;1;SÃO PAULO;QA UVA PILAR MOSCATO S/SEM 500G;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;999
1191810;1;SÃO PAULO;DET PO OMO LAVAGEM PERFEITA 2,4KG;MERCEARIA;LIMPEZA/DESCARTAVEIS;LIMPEZA;JARDIM PAULISTA;June-2019;PA;6.487,00
1114690;1;SÃO PAULO;LEITE A BELA VISTA GFA 1000ML;PERECIVEIS;PEREC COMPLEMENTAR;LATICINIOS E MASSAS;JARDIM PAULISTA;June-2019;PA;6.878,00
95877;1;SÃO PAULO;BIFE DE FILE DE FRANGO RESF KG;PERECIVEIS;CARNES;AVES;JARDIM PAULISTA;June-2019;PA;6.549,00
1186092;1;SÃO PAULO;COLORADO APPIA LATA 410ML;MERCEARIA;LIQUIDA;CERVEJAS;JARDIM PAULISTA;June-2019;PA;7.587,00
3878880;1;SÃO PAULO;TOMATE SWEET GRAPE T DA MONICA 180G;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;6.409,00
247634;1;SÃO PAULO;MACA GALA GRANEL KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;6.871,00
102056;1;SÃO PAULO;QJ PARMESAO LA SERENISSIMA;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;7.579,00
4334118;1;SÃO PAULO;ALFACE CRESPA HIDROP EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;6.868,00
1204100;1;SÃO PAULO;BAGUETE P PERU/QUEIJO FESTA 850G;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;June-2019;PA;7.824,00
2375984;1;SÃO PAULO;ESPINAFRE EMB ED UN;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;6.093,00
1090607;1;SÃO PAULO;VH CH TTO TRES MEDALHAS CARM 750ML;MERCEARIA;LIQUIDA;VINHOS;JARDIM PAULISTA;June-2019;PA;6.837,00
4911173;1;SÃO PAULO;QA LARANJA LIMA 2KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;6.433,00
4354031;1;SÃO PAULO;QJ MUSS BUFALO DOURADO CEREJ 250G;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;June-2019;PA;5.312,00
4346968;1;SÃO PAULO;REFRIG COCA-COLA ZERO PET 2L;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;6.324,00
6581275;1;SÃO PAULO;MANTEIGA AVIACAO TABLETE S/SAL 200G;PERECIVEIS;PEREC COMPLEMENTAR;LATICINIOS E MASSAS;JARDIM PAULISTA;June-2019;PA;5.841,00
97864;1;SÃO PAULO;PICANHA BOV ARG RESF FRIAR KG;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;3.159,00
4231486;1;SÃO PAULO;LEITE SEM DESNAT NINHO NESTLE 1LT;MERCEARIA;MERCEARIA BASICA;LEITE LONGA VIDA;JARDIM PAULISTA;June-2019;PA;6.582,00
3321195;1;SÃO PAULO;BROCOLIS NINJA/COUVE FLOR 300G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;6.114,00
3863480;1;SÃO PAULO;PAO DE QUEIJO UN;PERECIVEIS;PADARIA E ROTISSERIE;CAFE/LANCHONETE;JARDIM PAULISTA;June-2019;PA;6.204,00
997522;1;SÃO PAULO;AZEI EX VIR BORGES 500ML;MERCEARIA;MERCEARIA BASICA;OLEOS E AZEITES;JARDIM PAULISTA;June-2019;PA;4.914,00
1098827;1;SÃO PAULO;PH NEVE SUPREME FT L24 P21 20M;MERCEARIA;LIMPEZA/DESCARTAVEIS;DESCART HIGIENICOS;JARDIM PAULISTA;June-2019;PA;8.447,00
1094817;1;SÃO PAULO;QA MAMAO PAPAYA GOLDEN MB 1.5 KG;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;5.318,00
249966;1;SÃO PAULO;LTE CONDS MOCA LTA 395G;MERCEARIA;MERCEARIA BASICA;LACTEOS E ACHOCOLAT;JARDIM PAULISTA;June-2019;PA;6.231,00
1021136;1;SÃO PAULO;MASSA TAPIOCA DA TERRINHA 500G;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;5.787,00
336796;1;SÃO PAULO;ABOBRINHA ITALIANA KG;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;5.286,00
1080935;1;SÃO PAULO;MOIDA COXAO MOLE 500 GR;PERECIVEIS;CARNES;BOVINOS;JARDIM PAULISTA;June-2019;PA;6.057,00
6991029;1;SÃO PAULO;AGUA DE COCO DUCOCO 1L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;6.158,00
15035;1;SÃO PAULO;QJ MUSS TIROLEZ FAT;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;5.402,00
1114126;1;SÃO PAULO;QJ PARM RAL FAIXA AZUL 100G;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS;JARDIM PAULISTA;June-2019;PA;4.200,00
4347118;1;SÃO PAULO;REFRI COCA-COLA ZERO LTA 350ML;MERCEARIA;LIQUIDA;REFRIGERANTES;JARDIM PAULISTA;June-2019;PA;6.246,00
4656029;1;SÃO PAULO;ORG TQ OVOS GDE VM ORG C/10;PERECIVEIS;FLV;FOLHAGENS E PROCESS;JARDIM PAULISTA;June-2019;PA;6.391,00
2510385;1;SÃO PAULO;PAO RUSTICO DE NOZES 350G;PERECIVEIS;PADARIA E ROTISSERIE;PADARIA;JARDIM PAULISTA;June-2019;PA;5.102,00
1094477;1;SÃO PAULO;QA TOMATE SWEET GRAPE 500G;PERECIVEIS;FLV;LEGUMES;JARDIM PAULISTA;June-2019;PA;5.306,00
386982;1;SÃO PAULO;QJ PARM F AZUL PEDACO;PERECIVEIS;PEREC COMPLEMENTAR;QUEIJOS MANIPULADOS;JARDIM PAULISTA;June-2019;PA;5.366,00
1147031;1;SÃO PAULO;SMART SAMS GALAXY S9 G9600 PRETO;ELETRO-ELETRONICOS;TELEFONIA;TELEFONIA CELULAR;JARDIM PAULISTA;June-2019;PA;10.996,00
3878682;1;SÃO PAULO;TQ AGUA DE COCO TAEQ TP 1L;MERCEARIA;LIQUIDA;NAO ALCOOLICOS;JARDIM PAULISTA;June-2019;PA;6.959,00
236379;1;SÃO PAULO;FRANGO ASSADO KG;PERECIVEIS;PADARIA E ROTISSERIE;ROTISSERIE;JARDIM PAULISTA;June-2019;PA;5.632,00
7619397;1;SÃO PAULO;SALADA DE FRUTA TROPICAL CP 200G;PERECIVEIS;FLV;FRUTAS;JARDIM PAULISTA;June-2019;PA;5.271,00
